cost,production_cost,total_impact,national_impact,solution
7.320188870134679e10,8.144675816339948e10,8.432220812984848e10,7.513719044610071e10,RTE
5.061032927764586e10,5.308974332114256e10,5.9452367678089554e10,5.637882491973269e10,Baseline
5.079027948382681e10,5.624667503396562e10,6.136179272954318e10,5.637156947397742e10,Crisis
5.276601204046852e10,5.258287761463314e10,3.0443244833332226e10,3.0406033089792217e10,Sustainable
