cost,production_cost,total_impact,national_impact,solution
7.168127901958434e10,7.982802098431168e10,8.130534684212953e10,7.24489486868747e10,RTE
5.6845365247899124e10,5.919372222370016e10,6.432565761378133e10,6.097841405539017e10,Baseline
5.701133019676772e10,6.235210981192315e10,6.62266111924467e10,6.073059052975757e10,Crisis
5.881997454055489e10,5.875066571463822e10,3.524556040795692e10,3.513171373459188e10,Sustainable
