cost,production_cost,total_impact,national_impact,solution
7.168127901958434e10,7.982802098431168e10,8.130534684212953e10,7.24489486868747e10,RTE
6.479581214780376e10,6.7125034620891075e10,7.059214399493503e10,6.6853036758140015e10,Baseline
6.496186090120558e10,7.028388114863428e10,7.249376395344629e10,6.639074850454838e10,Crisis
6.676879200197983e10,6.6697596375596695e10,4.1515154673789764e10,4.1386941620083984e10,Sustainable
